aalib 1.4rc5-18
libproxy 0.5.5-1
libpsl 0.21.2-1
libpulse 17.0-3
libqxp 0.0.2-11
libraqm 0.10.1-1
libraw 0.21.2-1
libraw1394 2.1.2-3
libreoffice-fresh 24.2.2-2
librevenge 0.0.5-2
librsvg 2:2.58.0-1
libsamplerate 0.2.2-2
libsasl 2.1.28-4
libsass 3.6.6-1
libseccomp 2.5.5-2
libsecret 0.21.4-1
libsigc++ 2.12.1-1
libsigsegv 2.14-2
libsm 1.2.4-1
libsndfile 1.2.2-2
libsodium 1.0.19-3
libsoup 2.74.3-1
libsoup3 3.4.4-1
libsoxr 0.1.3-3
libspiro 1:20221101-2
libssh 0.10.6-2
libssh2 1.11.0-1
libstaroffice 0.0.7-2
libstemmer 2.2.0-2
libsynctex 2024.2-1
libsysprof-capture 46.0-1
libtasn1 4.19.0-1
libteam 1.32-1
libtermkey 0.22-3
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.6.0-4
libtirpc 1.3.4-1
libtommath 1.3.0-1
libtool 2.4.7+4+g1ec8fa28-7
libunibreak 6.1-1
libunistring 1.2-1
libunwind 1.8.1-2
liburing 2.5-1
libusb 1.0.27-1
libusbmuxd 2.1.0-1
libutempter 1.2.1-4
libuv 1.48.0-2
libva 2.21.0-1
libva-nvidia-driver-git 0.0.11.r29.g746d551-1
libvdpau 1.5-2
libverto 0.3.2-5
libvisio 0.1.7-10
libvorbis 1.3.7-3
libvpl 2.10.2-1
libvpx 1.14.0-1
libvterm 0.3.3-1
libwacom 2.11.0-1
libwebp 1.4.0-1
libwireplumber 0.5.2-1
libwmf 0.2.13-1
libwnck3 43.0-3
libwpd 0.10.3-4
libwpg 0.3.4-1
libwps 0.4.14-1
libx11 1.8.9-1
libxau 1.0.11-2
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcursor 1.2.2-1
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfce4ui 4.18.6-1
libxfce4util 4.18.2-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxkbfile 1.1.3-1
libxklavier 5.4-5
libxml2 2.12.6-1
libxmlb 0.3.19-1
libxmu 1.2.1-1
libxnvctrl 550.67-1
libxpm 3.5.17-1
libxpresent 1.0.1-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.39-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2426+464c51a0-1
libzip 1.10.1-1
libzmf 0.0.2-15
licenses 20240206-1
linux 6.8.7.arch1-1
linux-api-headers 6.7-1
linux-firmware 20240409.1addd7dc-1
linux-firmware-whence 20240409.1addd7dc-1
linux-headers 6.8.7.arch1-1
linux-lts 6.6.28-1
linux-lts-headers 6.6.28-1
lld 17.0.6-1
lld16 16.0.6-1
llvm 17.0.6-2
llvm-libs 17.0.6-2
llvm16 16.0.6-1
llvm16-libs 16.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
logrotate 3.21.0-2
lpsolve 5.5.2.11-2
lua 5.4.6-3
lua-lpeg 1.1.0-1
lua52 5.2.4-6
luajit 2.1.1713773202-1
luarocks 3.11.0-1
luit 20240102-1
lvm2 2.03.23-3
lz4 1:1.9.4-3
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
man-db 2.12.1-1
materia-gtk-theme 20210322-2
matugen-bin 2.2.0-1
mbedtls 3.5.2-1
md4c 0.5.2-1
mdadm 4.3-2
media-player-info 24-2
mesa 1:24.0.5-1
meson 1.4.0-2
mhash 0.9.9.9-5
mimalloc 2.1.2-1
mimetreeparser 24.02.2-1
mingw-w64-binutils 2.39-1
mingw-w64-cmake 1-40
mingw-w64-configure 0.1.1-11
mingw-w64-crt 11.0.0-1
mingw-w64-environment 1-5
mingw-w64-gcc 13.1.0-1
mingw-w64-headers 11.0.0-1
mingw-w64-libpng 1.6.43-1
mingw-w64-pkg-config 2-4
mingw-w64-winpthreads 11.0.0-1
mingw-w64-zlib 1.3.1-1
minizip 1:1.3.1-1
mkinitcpio 38.1-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
mono 6.12.0.206-1
mono-msbuild 16.10.1.xamarinxplat.2021.05.26.14.00-4
mpfr 4.2.1-2
mpg123 1.32.5-1
msgpack-c 5.0.0-2
mtdev 1.1.6-2
mtools 1:4.0.43-1
mypaint-brushes1 1.3.1-1
ncdu 2.3-1
ncurses 6.4_20230520-2
neofetch 7.1.0-2
neon 0.33.0-1
neovim 0.9.5-5
netctl 1.29-1
netpbm 10.86.41-1
nettle 3.9.1-1
networkmanager 1.46.0-2
ninja 1.11.1-3
nlohmann-json 3.11.2-2
nmap 7.94-2
node-gyp 10.1.0-2
nodejs 21.7.3-1
nodejs-nopt 7.2.0-1
noto-fonts 1:24.4.1-1
npm 10.5.2-1
npth 1.7-1
nspr 4.35-2
nss 3.99-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p17-1
numactl 2.0.18-1
numix-circle-icon-theme-git 24.04.22.r0.g1afc3df-1
numix-icon-theme-git 24.04.22.r0.g8f4d6e3ea-1
nvidia-dkms 550.76-3
nvidia-settings 550.67-1
nvidia-utils 550.76-3
nvm 0.39.7-1
nwg-look 0.2.7-1
obsidian 1.5.12-1
ocl-icd 2.3.2-1
oniguruma 6.9.9-1
openal 1.23.1-1
opencore-amr 0.1.6-1
openexr 3.2.4-1
openjpeg2 2.5.2-1
openmpi 5.0.2-8
openpmix 4.2.9-1
openssh 9.7p1-1
